unique_id	doctor_id	specialty	medication	nb_beneficiaries	spending
BK982218	1750389599	INTERNAL MEDICINE	AZITHROMYCIN	12	77.26
CG916968	1952344418	CARDIOLOGY	SIMVASTATIN	85	767.83
SA964720	1669522744	INTERNAL MEDICINE	INSULIN DETEMIR	14	5409.29
TR390895	1639597115	STUDENT IN AN ORGANIZED HEALTH CARE EDUCATION/TRAINING PROGRAM	LOSARTAN POTASSIUM	11	65.62
JA436080	1073781571	NEUROLOGY	LAMOTRIGINE	12	8873.7
WO822855	1689080749	INTERVENTIONAL CARDIOLOGY	SERTRALINE HCL	26	121.34
PC409862	1568483196	INTERNAL MEDICINE	CLOTRIMAZOLE/BETAMETHASONE DIP	12	310.97
CG865025	1497955603	CARDIOLOGY	ATORVASTATIN CALCIUM	82	2726.72
XI271888	1982785085	INTERNAL MEDICINE	BUDESONIDE/FORMOTEROL FUMARATE	37	10253.35
EQ932492	1336217306	INTERNAL MEDICINE	OXYCODONE HCL	11	355.43
DT789371	1518992585	INTERNAL MEDICINE	FENOFIBRATE NANOCRYSTALLIZED	33	2565.44
IC286267	1194718841	INTERNAL MEDICINE	METFORMIN HCL	53	340.75
PK692876	1144227802	INTERNAL MEDICINE	LOVASTATIN	34	349.58
AX468217	1518959154	OPHTHALMOLOGY	CIPROFLOXACIN HCL	17	2791.18
SU660670	1366528028	INTERNAL MEDICINE	LISINOPRIL	25	118.89
UP346469	1457338337	NURSE PRACTITIONER	ROSUVASTATIN CALCIUM	13	2837.07
DA943932	1659338887	PAIN MANAGEMENT	OXYCODONE HCL	52	15272.18
ZP892365	1336172261	INTERVENTIONAL CARDIOLOGY	LIOTHYRONINE SODIUM	11	440.79
TU901486	1326036062	FAMILY PRACTICE	ZOSTER VACCINE LIVE/PF	16	3078.49
US339660	1548250772	PSYCHIATRY	BUSPIRONE HCL	126	2239.34
JX313970	1003828724	FAMILY PRACTICE	RISPERIDONE	220	8045.03
SU398849	1437124419	INTERNAL MEDICINE	DIGOXIN	15	618.52
BU202944	1538156542	FAMILY PRACTICE	ALBUTEROL SULFATE	16	1456.08
RH274400	1023342144	NURSE PRACTITIONER	DICLOFENAC SODIUM	32	1491.24
ON964391	1528031978	INTERNAL MEDICINE	FENTANYL	18	1730.84
CQ964168	1174510481	OBSTETRICS/GYNECOLOGY	NYSTATIN/TRIAMCIN	11	1219.38
AL166376	1255498127	PSYCHIATRY	CITALOPRAM HYDROBROMIDE	11	89.3
GD287242	1487714606	FAMILY PRACTICE	ESTROGENS, CONJUGATED	21	5846.93
BT820276	1477976512	PHYSICIAN ASSISTANT	LAMOTRIGINE	30	327.12
AD891213	1326351156	INTERNAL MEDICINE	LOVASTATIN	18	311.3
VY752576	1932169778	INTERVENTIONAL CARDIOLOGY	OMEPRAZOLE	107	2052.04
GF883895	1891734083	INTERVENTIONAL CARDIOLOGY	ATORVASTATIN CALCIUM	204	2547.07
MK361461	1245206184	CARDIOLOGY	PANTOPRAZOLE SODIUM	102	1608.42
CF887728	1225012420	FAMILY PRACTICE	FLUTICASONE PROPIONATE	39	8934.45
FE564384	1225180961	FAMILY PRACTICE	LIRAGLUTIDE	33	15640.59
UB518915	1487602389	FAMILY PRACTICE	LISINOPRIL	450	3147.16
UM165381	1972629749	FAMILY PRACTICE	ESCITALOPRAM OXALATE	36	501.79
YS123432	1841589744	CARDIOLOGY	VENLAFAXINE HCL	25	265.49
DJ966828	1629022389	NURSE PRACTITIONER	EZETIMIBE	20	10869.06
VZ416961	1831119486	FAMILY PRACTICE	DILTIAZEM HCL	13	218.56
FV632964	1104832492	ENDOCRINOLOGY	INSULIN GLARGINE,HUM.REC.ANLOG	105	76346.72
AU352153	1386868529	ORTHOPEDIC SURGERY	ACETAMINOPHEN WITH CODEINE	62	401.89
PM639115	1760643803	PULMONARY DISEASE	OMEPRAZOLE	33	814.71
OB710833	1699921866	FAMILY PRACTICE	SULFAMETHOXAZOLE/TRIMETHOPRIM	20	74.37
NH872050	1851666473	INTERNAL MEDICINE	METFORMIN HCL	43	525.54
MG439448	1962498311	OPHTHALMOLOGY	PILOCARPINE HCL	20	1910.22
WO875842	1548267172	FAMILY PRACTICE	AMOXICILLIN	36	180.08
YN526335	1982913554	NURSE PRACTITIONER	ALPRAZOLAM	96	615.66
ES437458	1639267875	ORTHOPEDIC SURGERY	HYDROCODONE/ACETAMINOPHEN	62	3758.22
NM108377	1326026154	HEMATOLOGY/ONCOLOGY	LIDOCAINE/PRILOCAINE	13	501.5
YG219581	1104853860	FAMILY PRACTICE	VALSARTAN	21	4341.38
QK186918	1225021678	INTERNAL MEDICINE	INSULIN GLARGINE,HUM.REC.ANLOG	196	79045.15
OR161686	1801892781	FAMILY PRACTICE	MONTELUKAST SODIUM	36	361.43
XT297229	1841215423	FAMILY PRACTICE	IPRATROPIUM/ALBUTEROL SULFATE	11	248.95
